,train_step,reward_mean,reward_std
0,0,764213.9014,0.0
1,1,763927.4416,0.0
2,2,764161.2184,0.0
3,3,763904.2128,0.0
4,4,763847.4414,0.0
5,5,764037.22,0.0
6,6,763811.3544,0.0
7,7,764263.1416,0.0
8,8,764295.5724,0.0
9,9,764294.1786,0.0
10,10,764149.5728,0.0
11,11,764205.498,0.0
12,12,764154.5568,0.0
13,13,764150.6752,0.0
14,14,763813.5928,0.0
15,15,764218.7406,0.0
16,16,764049.8934,0.0
17,17,764364.4296,0.0
18,18,764053.7094,0.0
19,19,764080.6568,0.0
20,20,764217.173,0.0
21,21,764167.3638,0.0
22,22,764283.4472,0.0
23,23,764303.7904,0.0
24,24,764269.3872,0.0
25,25,764206.58,0.0
26,26,764180.8212,0.0
27,27,764262.6958,0.0
28,28,764424.0694,0.0
29,29,764227.478,0.0
30,30,764259.3042,0.0
31,31,764310.0332,0.0
32,32,763948.8562,0.0
33,33,764002.8766,0.0
34,34,764139.5322,0.0
35,35,763966.5196,0.0
36,36,763915.9736,0.0
37,37,763929.7444,0.0
38,38,764336.8514,0.0
39,39,764236.072,0.0
